日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20210630,6297,鉱研工業,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6298,ワイエイシイホールディングス,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6299,神鋼環境ソリューション,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6301,小松製作所,市場第一部（内国株）,3600,機械,8,機械 ,2,TOPIX Large70
20210630,6302,住友重機械工業,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
20210630,6303,ササクラ,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6305,日立建機,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
20210630,6306,日工,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6307,サンセイ,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6309,巴工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6310,井関農機,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6312,フロイント産業,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6315,ＴＯＷＡ,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6316,丸山製作所,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6317,北川鉄工所,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6319,シンニッタン,市場第一部（内国株）,3450,鉄鋼,7,鉄鋼・非鉄 ,7,TOPIX Small 2
20210630,6322,タクミナ,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6323,ローツェ,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6324,ハーモニック・ドライブ・システムズ,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
